completion,prompt
" Employees: Person
you: None
only: None
pay: None
once: None
You: None
operate: None
PAYE: None
differently: None
for: None
employees: Person
you: None
only: None
pay: None
once: None
.: None

###","Employees you only pay once You operate PAYE differently for employees you only pay once .

###

"
" You: None
must: None
not: None
use: None
landfill: Form
waste: Form
acceptance: Form
criteria: Form
(: None
WAC: Organization
): None
results: None
for: None
waste: None
classification: None
purposes: None
.: None

###","You must not use landfill waste acceptance criteria ( WAC ) results for waste classification purposes .

###

"
" Accommodation: None
provided: None
by: None
an: None
employer: Organization
can: None
be: None
taken: None
into: None
account: None
when: None
calculating: None
the: None
National: Finance
Minimum: Finance
Wage: Finance
or: None
National: Finance
Living: Finance
Wage: Finance
.: None

###","Accommodation provided by an employer can be taken into account when calculating the National Minimum Wage or National Living Wage .

###

"
" It: None
does: None
not: None
form: None
a: None
contract: None
between: None
you: None
and: None
the: None
organisation: Organization
.: None

###","It does not form a contract between you and the organisation .

###

"
" Estimate: None
your: None
penalty: None
for: None
Self: Form
Assessment: Form
tax: Form
returns: Form
more: None
than: None
3: Date
months: Date
late: None
and: None
late: None
payments: None
.: None

###","Estimate your penalty for Self Assessment tax returns more than 3 months late and late payments .

###

"
" They: None
will: None
not: None
contact: Event
your: None
employer: Organization
until: None
they: None
’: None
ve: None
agreed: None
this: None
with: None
you: None
first: None
.: None

###","They will not contact your employer until they ’ ve agreed this with you first .

###

"
" If: None
you: None
get: None
a: None
‘: None
notice: None
to: None
pay: None
’: None
you: None
must: None
repay: None
HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: None
HMRC: None
): None
within: None
30: None
days: None
.: None

###","If you get a ‘ notice to pay ’ you must repay HM Revenue and Customs ( HMRC ) within 30 days .

###

"
" You: None
must: None
let: None
Student: Location
Finance: Location
England: Location
know: None
if: None
your: None
details: None
change: None
.: None

###","You must let Student Finance England know if your details change .

###

"
" If: None
you: None
’: None
re: None
on: None
the: None
Early: None
Support: None
Programme: None
and: None
have: None
a: None
Family: Form
File: Form
show: None
this: None
to: None
your: None
childcare: Organization
provider: Organization
.: None

###","If you ’ re on the Early Support Programme and have a Family File show this to your childcare provider .

###

"
" If: None
you: None
submit: None
anything: None
after: Event
the: Event
deadline: Event
it: None
might: None
not: None
be: None
considered: None
and: None
may: None
result: None
in: None
delays: None
to: None
your: None
hearing: Event
.: None

###","If you submit anything after the deadline it might not be considered and may result in delays to your hearing .

###

"
" There: None
are: None
special: None
rules: None
for: None
changing: None
rents: Finance
and: None
terms: None
for: None
regulated: None
tenancies: None
(: None
usually: None
starting: None
before: None
15: Date
January: Date
1989: Date
): None
.: None

###","There are special rules for changing rents and terms for regulated tenancies ( usually starting before 15 January 1989 ) .

###

"
" How: None
to: None
report: Contact
the: None
error: None
Fill: None
in: None
form: Form
VAT652: Form
and: None
send: None
it: None
to: None
the: None
VAT: Organization
Error: Organization
Correction: Organization
Team: Organization
.: None

###","How to report the error Fill in form VAT652 and send it to the VAT Error Correction Team .

###

"
" Carer: None
’: None
s: None
Allowance: None
can: None
affect: None
the: None
other: None
benefits: Finance
that: None
both: None
you: Person
and: None
the: None
person: Person
you: None
care: None
for: None
get: None
.: None

###","Carer ’ s Allowance can affect the other benefits that both you and the person you care for get .

###

"
" If: None
an: None
employer: Organization
sets: None
the: None
working: None
hours: None
and: None
the: None
workers: Person
have: None
to: None
clock: None
in: None
and: None
out: None
this: None
counts: None
as: None
time: None
work: None
not: None
as: None
output: None
work: None
.: None

###","If an employer sets the working hours and the workers have to clock in and out this counts as time work not as output work .

###

"
" In: None
Northern: Location
Ireland: Location
you: None
can: None
’: None
t: None
choose: None
your: None
own: None
supplier: None
-: None
water: None
is: None
supplied: None
by: None
Northern: Organization
Ireland: Organization
Water: Organization
.: None

###","In Northern Ireland you can ’ t choose your own supplier - water is supplied by Northern Ireland Water .

###

"
" Check: None
with: None
the: None
court: Organization
where: None
you: None
made: None
your: None
petition: None
for: None
how: None
to: None
appeal: None
.: None

###","Check with the court where you made your petition for how to appeal .

###

"
" You: None
can: None
also: None
charge: None
a: None
business: Organization
a: None
fixed: None
sum: None
for: None
the: None
cost: None
of: None
recovering: None
a: None
late: None
commercial: None
payment: None
on: None
top: None
of: None
claiming: None
interest: None
from: None
it: None
.: None

###","You can also charge a business a fixed sum for the cost of recovering a late commercial payment on top of claiming interest from it .

###

"
" The: None
following: None
guide: Contact
contains: None
more: None
detailed: None
information: None
:: None
assets: None
placed: None
at: None
the: None
disposal: None
of: None
a: None
director: Person
or: None
employee: Person

###","The following guide contains more detailed information : assets placed at the disposal of a director or employee

###

"
" There: None
are: None
different: None
multipliers: None
in: None
Wales: Location
and: None
the: None
City: Location
of: Location
London: Location
.: None

###","There are different multipliers in Wales and the City of London .

###

"
" If: None
possible: None
a: None
manager: Person
who: None
has: None
not: None
been: None
involved: None
in: None
the: None
process: None
should: None
handle: None
the: None
appeal: Event
.: None

###","If possible a manager who has not been involved in the process should handle the appeal .

###

"
" This: None
will: None
be: None
at: None
least: None
14: Date
days: Date
after: None
you: None
served: None
the: None
petition: Form
to: None
the: None
debtor: Person
.: None

###","This will be at least 14 days after you served the petition to the debtor .

###

"
" Fill: None
in: None
a: None
hedgerow: Form
appeal: Form
form: Form
and: None
send: None
it: None
to: None
the: None
Planning: Organization
Inspectorate: Organization
.: None

###","Fill in a hedgerow appeal form and send it to the Planning Inspectorate .

###

"
" If: None
paying: None
by: None
post: None
you: None
can: None
include: None
a: None
letter: Contact
with: None
your: None
payment: None
to: None
ask: None
for: None
a: None
receipt: None
from: None
HMRC: Organization
.: None

###","If paying by post you can include a letter with your payment to ask for a receipt from HMRC .

###

"
" For: None
example: None
if: None
you: None
have: None
a: None
joint: Finance
account: Finance
with: None
one: None
other: None
person: Person
declare: None
half: None
the: None
total: None
amount: None
as: None
yours: None
.: None

###","For example if you have a joint account with one other person declare half the total amount as yours .

###

"
" You: None
should: None
also: None
tell: None
them: None
if: None
your: None
employee: Person
changes: None
their: None
hours: None
.: None

###","You should also tell them if your employee changes their hours .

###

"
" This: None
starts: None
with: None
an: None
X: None
and: None
you: None
’: None
ll: None
find: None
it: None
on: None
the: None
penalty: Form
notice: Form
HMRC: Organization
sent: None
you: None
.: None

###","This starts with an X and you ’ ll find it on the penalty notice HMRC sent you .

###

"
" The: None
liquidator: Person
is: None
an: None
authorised: None
insolvency: Person
practitioner: Person
or: None
official: None
receiver: Person
who: None
runs: None
the: None
liquidation: None
process: None
.: None

###","The liquidator is an authorised insolvency practitioner or official receiver who runs the liquidation process .

###

"
" It: None
’: None
s: None
your: None
responsibility: None
to: None
check: None
the: None
charity: Organization
is: None
eligible: None
and: None
to: None
apply: None
the: None
correct: None
rate: None
.: None

###","It ’ s your responsibility to check the charity is eligible and to apply the correct rate .

###

"
" You: None
can: None
claim: None
your: None
State: Finance
Pension: Finance
online: None
.: None

###","You can claim your State Pension online .

###

"
" You: None
do: None
not: None
have: None
to: None
give: None
a: None
precise: Date
date: Date
when: None
you: None
want: None
to: None
take: None
leave: None
(: None
for: None
example: None
1: Date
February: Date
): None
.: None

###","You do not have to give a precise date when you want to take leave ( for example 1 February ) .

###

"
" While: None
you: None
wait: None
You: None
cannot: None
charge: None
or: None
show: None
VAT: None
on: None
your: None
invoices: None
until: None
you: None
get: None
your: None
VAT: Finance
number: Finance
.: None

###","While you wait You cannot charge or show VAT on your invoices until you get your VAT number .

###

"
" Correct: None
your: None
patent: None
You: None
can: None
correct: None
patent: Form
documents: Form
if: None
you: None
’: None
ve: None
made: None
a: None
genuine: None
mistake: None
.: None

###","Correct your patent You can correct patent documents if you ’ ve made a genuine mistake .

###

"
" You: None
may: None
be: None
able: None
to: None
get: None
help: None
with: None
court: Finance
fees: Finance
if: None
you: None
’: None
re: None
on: None
benefits: Finance
or: None
a: None
low: None
income: None
.: None

###","You may be able to get help with court fees if you ’ re on benefits or a low income .

###

"
" You: None
can: None
also: None
read: None
Citizens: Organization
Advice: Organization
’: None
s: None
help: None
on: None
filling: None
in: None
the: None
form: None
.: None

###","You can also read Citizens Advice ’ s help on filling in the form .

###

"
" Tell: None
Companies: Organization
House: Organization
to: None
make: None
these: None
changes: None
.: None

###","Tell Companies House to make these changes .

###

"
" Contact: None
Student: Organization
Finance: Organization
England: Organization
if: None
you: None
have: None
further: None
questions: None
.: None

###","Contact Student Finance England if you have further questions .

###

"
" You: None
’: None
ll: None
also: None
need: None
to: None
complete: None
the: None
form: Form
if: None
you: None
’: None
re: None
transferring: None
the: None
property: Misc
and: None
you: None
’: None
re: None
not: None
the: None
executor: Person
.: None

###","You ’ ll also need to complete the form if you ’ re transferring the property and you ’ re not the executor .

###

"
" Call: Event
the: None
right: None
phone: None
number: None
for: None
the: None
benefit: None
you: None
’: None
re: None
claiming: None
.: None

###","Call the right phone number for the benefit you ’ re claiming .

###

"
" Make: None
a: None
deal: None
You: None
can: None
offer: None
to: None
make: None
a: None
deal: Event
with: None
the: None
other: None
party: Person
which: None
is: None
usually: None
cheaper: None
and: None
quicker: None
than: None
going: None
to: None
court: Organization
.: None

###","Make a deal You can offer to make a deal with the other party which is usually cheaper and quicker than going to court .

###

"
" Some: None
companies: Organization
use: None
them: None
to: None
take: None
on: None
some: None
of: None
the: None
director: Person
’: None
s: None
responsibilities: None
.: None

###","Some companies use them to take on some of the director ’ s responsibilities .

###

"
" To: None
get: None
the: None
discount: None
you: None
’: None
ll: None
need: None
to: None
stay: None
with: None
your: None
supplier: Organization
until: Event
it: Event
’: Event
s: Event
paid: Event
.: None

###","To get the discount you ’ ll need to stay with your supplier until it ’ s paid .

###

"
" When: None
you: None
’: None
re: None
ready: None
to: None
register: None
your: None
design: None
To: None
request: None
registration: None
send: None
a: None
deferred: Form
design: Form
registration: Form
form: Form
and: None
fee: Form
sheet: Form
for: None
each: None
design: None
.: None

###","When you ’ re ready to register your design To request registration send a deferred design registration form and fee sheet for each design .

###

"
" There: None
are: None
minimum: None
requirements: Person
seafarers: Person
must: None
meet: None
to: None
work: None
at: None
sea: Location
.: None

###","There are minimum requirements seafarers must meet to work at sea .

###

"
" It: None
must: None
tell: None
all: None
members: Person
entitled: State
to: State
vote: State
and: None
the: None
employer: Person
what: None
the: None
ballot: None
results: None
were: None
.: None

###","It must tell all members entitled to vote and the employer what the ballot results were .

###

"
" Keep: None
your: None
own: None
copy: Contact
of: None
the: None
forms: None
.: None

###","Keep your own copy of the forms .

###

"
" Hazardous: None
waste: None
How: None
to: None
deal: None
with: None
hazardous: None
waste: None
from: None
your: None
business: None
in: None
England: Location
-: None
your: None
duties: Form
,: Form
licences: Form
and: Form
registration: Form
,: None
storage: None
,: None
collection: None
and: None
transport: None
.: None

###","Hazardous waste How to deal with hazardous waste from your business in England - your duties , licences and registration , storage , collection and transport .

###

"
" If: None
things: None
cannot: None
be: None
sorted: None
out: None
informally: None
talk: None
to: None
Acas: None
Citizens: None
Advice: None
or: None
a: None
trade: Person
union: Person
representative: Person
.: None

###","If things cannot be sorted out informally talk to Acas Citizens Advice or a trade union representative .

###

"
" HMRC: Organization
has: None
guidance: Form
on: None
making: None
a: None
negligible: Form
value: Form
claim: Form
.: None

###","HMRC has guidance on making a negligible value claim .

###

"
" Use: None
the: None
maternity: Person
planner: Person
to: None
work: None
out: None
the: None
dates: Date
for: None
your: None
ordinary: None
and: None
additional: Event
leave: Event
.: None

###","Use the maternity planner to work out the dates for your ordinary and additional leave .

###

"
" Change: None
or: None
withdraw: None
your: None
appeal: None
You: None
can: None
change: None
your: None
appeal: None
or: None
withdraw: None
it: None
before: None
the: None
hearing: Event
.: None

###","Change or withdraw your appeal You can change your appeal or withdraw it before the hearing .

###

"
" Take: None
your: None
closing: State
balance: State
from: None
your: None
last: None
accounting: Finance
period: Finance
.: None

###","Take your closing balance from your last accounting period .

###

"
" Use: None
this: None
service: None
to: None
get: None
your: None
State: Finance
Pension: Finance
online: None
.: None

###","Use this service to get your State Pension online .

###

"
" Officers: Person
Officers: Person
in: None
your: None
crew: Person
must: None
have: None
the: None
necessary: None
certificates: Form
of: Form
competency: Form
(: None
CoCs: Form
): None
.: None

###","Officers Officers in your crew must have the necessary certificates of competency ( CoCs ) .

###

"
" If: None
you: None
nominate: None
a: None
property: None
as: None
your: None
main: None
home: Location
you: None
qualify: None
for: None
relief: None
for: None
most: None
of: None
the: None
time: None
you: None
live: None
away: None
.: None

###","If you nominate a property as your main home you qualify for relief for most of the time you live away .

###

"
" If: None
you: None
don: None
’: None
t: None
leave: None
the: None
property: Event
Your: None
landlord: Person
can: None
’: None
t: None
remove: None
you: None
by: None
force: None
.: None

###","If you don ’ t leave the property Your landlord can ’ t remove you by force .

###

"
" You: None
can: None
also: None
ask: None
the: None
court: Organization
to: None
change: None
an: None
existing: None
child: None
maintenance: None
decision: None
or: None
make: None
a: None
new: None
one: Person
.: None

###","You can also ask the court to change an existing child maintenance decision or make a new one .

###

"
" You: None
’: None
ll: None
pay: None
18: None
%: None
on: None
gains: None
made: None
before: None
6: Date
April: Date
2016: Date
.: None

###","You ’ ll pay 18 % on gains made before 6 April 2016 .

###

"
" Any: None
money: None
you: None
get: None
is: None
paid: Finance
in: None
the: None
same: None
way: None
as: None
your: None
wages: Finance
for: None
example: None
monthly: None
or: None
weekly: None
.: None

###","Any money you get is paid in the same way as your wages for example monthly or weekly .

###

"
" If: None
you: None
have: None
a: None
dispute: Event
with: None
the: None
park: Person
owner: Person
that: None
you: None
cannot: None
work: None
out: None
you: None
can: None
apply: None
to: None
a: None
tribunal: Event
.: None

###","If you have a dispute with the park owner that you cannot work out you can apply to a tribunal .

###

"
" Their: None
contact: Form
details: Form
may: None
be: None
in: None
your: None
company: None
handbook: None
intranet: None
site: None
or: None
on: None
the: None
union: None
noticeboard: None
.: None

###","Their contact details may be in your company handbook intranet site or on the union noticeboard .

###

"
" What: None
happens: None
next: None
HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: None
HMRC: None
): None
will: None
check: None
that: None
the: None
information: None
you: None
’: None
ve: None
submitted: None
matches: Event
their: None
records: None
.: None

###","What happens next HM Revenue and Customs ( HMRC ) will check that the information you ’ ve submitted matches their records .

###

"
" You: None
must: None
continue: None
to: None
work: None
with: None
a: None
union: Organization
if: None
the: None
CAC: Organization
have: None
refused: State
the: State
application: State
for: State
derecognition: State
.: None

###","You must continue to work with a union if the CAC have refused the application for derecognition .

###

"
" Work: None
out: None
how: None
much: None
taxable: Finance
income: Finance
you: None
have: None
-: None
deduct: None
your: None
Personal: Finance
Allowance: Finance
and: None
any: None
other: None
Income: Finance
Tax: Finance
reliefs: None
you: None
’: None
re: None
entitled: None
to: None
.: None

###","Work out how much taxable income you have - deduct your Personal Allowance and any other Income Tax reliefs you ’ re entitled to .

###

"
" Annual: None
increases: None
After: None
you: None
claim: None
your: None
State: Finance
Pension: Finance
the: None
extra: None
amount: None
you: None
get: None
because: None
you: None
deferred: None
will: None
usually: None
increase: None
each: None
year: None
based: None
on: None
the: None
Consumer: None
Price: None
Index: None
.: None

###","Annual increases After you claim your State Pension the extra amount you get because you deferred will usually increase each year based on the Consumer Price Index .

###

"
" Disability: Organization
Living: Organization
Allowance: Organization
for: None
adults: Person
Personal: Finance
Independence: Finance
Payment: Finance
is: None
gradually: None
replacing: None
DLA: Finance
for: None
adults: Person
with: None
long: None
-: None
term: None
ill: None
health: None
or: None
a: None
disability: None
.: None

###","Disability Living Allowance for adults Personal Independence Payment is gradually replacing DLA for adults with long - term ill health or a disability .

###

"
" You: None
can: None
keep: None
getting: None
DLA: Finance
if: None
you: State
’: State
re: State
under: State
16: State
or: None
you: None
were: None
born: Event
on: None
or: None
before: None
8: Date
April: Date
1948: Date
and: None
have: None
an: None
existing: None
claim: Finance
.: None

###","You can keep getting DLA if you ’ re under 16 or you were born on or before 8 April 1948 and have an existing claim .

###

"
" It: None
should: None
also: None
include: None
the: None
name: None
of: None
someone: Person
you: None
can: None
speak: None
to: None
if: None
you: None
do: None
not: None
agree: None
with: None
your: None
employer: Person
’: None
s: None
disciplinary: None
decision: None
.: None

###","It should also include the name of someone you can speak to if you do not agree with your employer ’ s disciplinary decision .

###

"
" You: None
must: None
include: None
all: None
transfer: Finance
fees: Finance
and: None
conditions: None
in: None
your: None
contrac: Form
t: None
with: None
the: None
hirer: Person
.: None

###","You must include all transfer fees and conditions in your contract with the hirer .

###

"
" Apply: None
for: None
Healthy: Misc
Start: Misc
vouchers: None
by: None
filling: None
in: None
the: None
online: Form
form: Form
and: None
printing: None
it: None
out: None
.: None

###","Apply for Healthy Start vouchers by filling in the online form and printing it out .

###

"
" Fees: Finance
There: None
’: None
s: None
no: None
fee: None
for: None
applying: None
for: None
family: Event
reunion: Event
for: None
eligible: State
family: Person
members: Person
.: None

###","Fees There ’ s no fee for applying for family reunion for eligible family members .

###

"
" You: None
’: None
ll: None
need: None
to: None
use: None
the: None
HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: None
HMRC: Organization
): None
payslip: Form
included: None
with: None
the: None
late: Finance
penalty: Finance
or: None
filing: Form
notice: Form
.: None

###","You ’ ll need to use the HM Revenue and Customs ( HMRC ) payslip included with the late penalty or filing notice .

###

"
" If: None
they: None
can: None
’: None
t: None
they: None
will: None
try: None
to: None
pay: None
as: None
much: None
of: None
your: None
company: Organization
’: None
s: None
debts: None
as: None
possible: None
from: None
the: None
company: Organization
’: None
s: None
assets: None
.: None

###","If they can ’ t they will try to pay as much of your company ’ s debts as possible from the company ’ s assets .

###

"
" The: None
business: Organization
could: None
have: None
its: None
head: Location
office: Location
in: None
another: None
country: Location
but: None
the: None
part: None
of: None
the: None
business: Organization
that: None
’: None
s: None
transferring: None
ownership: State
must: None
be: None
in: None
the: None
UK: Location
.: None

###","The business could have its head office in another country but the part of the business that ’ s transferring ownership must be in the UK .

###

"
" Legal: None
advice: None
You: None
can: None
get: None
free: Finance
legal: None
advice: None
about: None
schooling: None
and: None
education: None
from: None
Child: Organization
Law: Organization
Advice: Organization
.: None

###","Legal advice You can get free legal advice about schooling and education from Child Law Advice .

###

"
" Carer: Finance
’: Finance
s: Finance
Allowance: Finance
does: None
not: None
count: None
towards: None
the: None
benefit: Finance
cap: Finance
.: None

###","Carer ’ s Allowance does not count towards the benefit cap .

###

"
" There: None
are: None
additional: None
rules: None
if: None
you: None
live: State
abroad: State
or: None
if: None
you: None
’: None
re: None
not: None
a: None
British: Person
citizen: Person
.: None

###","There are additional rules if you live abroad or if you ’ re not a British citizen .

###

"
" Divide: None
this: None
by: None
the: None
number: None
of: None
workers: Person
to: None
work: None
out: None
the: None
average: None
rate: None
.: None

###","Divide this by the number of workers to work out the average rate .

###

"
" Customers: Person
’: None
rights: None
Your: None
customers: Person
also: None
have: None
implied: None
rights: None
when: None
buying: None
your: None
goods: None
or: None
services: None
unless: None
the: None
contract: None
legally: None
states: None
otherwise: None
.: None

###","Customers ’ rights Your customers also have implied rights when buying your goods or services unless the contract legally states otherwise .

###

"
" Contact: None
the: None
Centre: Organization
for: Organization
International: Organization
Trade: Organization
(: None
Carlisle: Location
): None
for: None
more: None
information: None
on: None
the: None
rules: None
for: None
travelling: None
with: None
these: None
or: None
other: None
species: None
of: None
pet: Misc
.: None

###","Contact the Centre for International Trade ( Carlisle ) for more information on the rules for travelling with these or other species of pet .

###

"
" You: None
must: None
make: None
sure: None
your: None
maternity: Event
leave: Event
and: None
pay: None
policies: None
are: None
clear: None
and: None
available: None
to: None
staff: Person
.: None

###","You must make sure your maternity leave and pay policies are clear and available to staff .

###

"
" You: None
may: None
be: None
able: None
to: None
apply: None
to: None
extend: None
your: None
stay: None
or: None
settle: None
in: None
the: None
UK: Location
towards: None
the: None
end: None
of: None
your: None
stay: None
.: None

###","You may be able to apply to extend your stay or settle in the UK towards the end of your stay .

###

"
" Apply: None
Download: None
the: None
guidance: None
and: None
fill: None
in: None
the: None
application: Form
form: Form
.: None

###","Apply Download the guidance and fill in the application form .

###

"
" It: None
’: None
s: None
paid: None
on: None
top: None
of: None
Child: Misc
Benefit: Misc
.: None

###","It ’ s paid on top of Child Benefit .

###

"
" Some: None
benefits: Finance
may: None
carry: None
on: None
and: None
others: None
may: None
be: None
available: None
once: None
you: None
’: None
re: None
working: None
.: None

###","Some benefits may carry on and others may be available once you ’ re working .

###

"
" Proof: None
can: None
be: None
a: None
letter: Contact
from: None
your: None
adoption: Organization
agency: Organization
or: None
the: None
matching: None
certificate: Form
.: None

###","Proof can be a letter from your adoption agency or the matching certificate .

###

"
" Return: None
it: None
to: None
the: None
address: Contact
on: None
the: None
letter: Contact
.: None

###","Return it to the address on the letter .

###

"
" You: None
’: None
ll: None
be: None
registered: None
as: None
the: None
owner: Person
of: None
the: None
property: None
if: None
there: None
’: None
s: None
no: None
objection: None
.: None

###","You ’ ll be registered as the owner of the property if there ’ s no objection .

###

"
" You: None
have: None
a: None
rent: Form
contract: Form
if: None
you: None
pay: None
rent: Finance
to: None
a: None
landlord: Person
.: None

###","You have a rent contract if you pay rent to a landlord .

###

"
" If: None
they: None
do: None
not: None
respond: None
within: Date
30: Date
days: Date
the: None
court: Organization
will: None
use: None
your: None
evidence: None
to: None
make: None
a: None
decision: None
.: None

###","If they do not respond within 30 days the court will use your evidence to make a decision .

###

"
" HMRC: Organization
has: None
guidance: None
on: None
what: None
to: None
put: None
in: None
each: None
field: None
on: None
an: None
an: None
EPS: None
.: None

###","HMRC has guidance on what to put in each field on an an EPS .

###

"
" You: None
may: None
also: None
be: None
able: None
to: None
take: None
a: None
complaint: None
to: None
an: None
employment: Event
tribunal: Event
-: None
you: None
have: None
to: None
do: None
this: None
within: None
3: None
months: None
of: None
the: None
discrimination: None
happening: None
.: None

###","You may also be able to take a complaint to an employment tribunal - you have to do this within 3 months of the discrimination happening .

###

"
" Write: None
a: None
cheque: None
for: None
the: None
amount: None
you: None
’: None
re: None
paying: None
in: None
payable: None
to: None
the: None
‘: None
Accountant: Person
General: Person
of: None
the: None
Senior: Organization
Courts: Organization
’: None
.: None

###","Write a cheque for the amount you ’ re paying in payable to the ‘ Accountant General of the Senior Courts ’ .

###

"
" If: None
you: None
’: None
re: None
unsure: None
whether: None
you: None
can: None
commit: None
to: None
a: None
full: None
apprenticeship: None
but: None
would: None
still: None
like: None
to: None
hire: None
an: None
apprentice: Person
you: None
can: None
use: None
an: None
apprenticeship: Organization
training: Organization
agency: Organization
.: None

###","If you ’ re unsure whether you can commit to a full apprenticeship but would still like to hire an apprentice you can use an apprenticeship training agency .

###

"
" The: None
judge: Person
will: None
then: None
make: None
a: None
decision: None
.: None

###","The judge will then make a decision .

###

"
" The: None
interest: None
is: None
made: None
up: None
of: None
the: None
Retail: Finance
Price: Finance
Index: Finance
(: None
RPI: Organization
): None
plus: None
3: None
%: None
.: None

###","The interest is made up of the Retail Price Index ( RPI ) plus 3 % .

###

"
" The: None
local: None
council: Organization
can: None
do: None
this: None
instead: None
of: None
prosecuting: None
you: None
or: None
as: None
well: None
.: None

###","The local council can do this instead of prosecuting you or as well .

###

"
" A: None
close: None
company: Organization
is: None
a: None
limited: None
company: Organization
that: None
’: None
s: None
run: None
by: None
5: None
or: None
fewer: None
shareholders: Person
.: None

###","A close company is a limited company that ’ s run by 5 or fewer shareholders .

###

"
" This: None
includes: None
complaints: None
that: None
the: None
school: Organization
has: None
not: None
provided: None
the: None
support: None
required: None
by: None
your: None
child: Person
’: None
s: None
SEN: Form
statement: Form
or: None
education: Form
health: Form
and: Form
care: Form
(: Form
EHC: Form
): Form
plan: Form
.: None

###","This includes complaints that the school has not provided the support required by your child ’ s SEN statement or education health and care ( EHC ) plan .

###

"
" Example: None
The: None
‘: None
Income: Finance
Tax: Finance
:: None
general: None
enquiries: None
’: None
helpline: None
is: None
0300: None
200: None
3300: None
.: None

###","Example The ‘ Income Tax : general enquiries ’ helpline is 0300 200 3300 .

###

"
" What: None
happens: None
next: None
The: None
mark: None
will: None
be: None
changed: None
if: None
the: None
reviewer: Contact
thinks: None
it: None
’: None
s: None
wrong: None
.: None

###","What happens next The mark will be changed if the reviewer thinks it ’ s wrong .

###

"
" Change: None
or: None
withdraw: Event
your: Event
appeal: Event
You: None
can: None
change: None
or: None
withdraw: None
your: None
appeal: None
before: None
the: None
hearing: Event
.: None

###","Change or withdraw your appeal You can change or withdraw your appeal before the hearing .

###

"
" The: None
examination: Event
will: None
show: None
if: None
your: None
application: Form
meets: None
the: None
legal: None
requirements: None
.: None

###","The examination will show if your application meets the legal requirements .

###

"
" If: None
your: None
state: Finance
benefit: Finance
was: None
paid: None
every: Date
4: Date
weeks: Date
work: None
out: None
the: None
total: None
paid: None
in: None
a: None
year: None
by: None
multiplying: None
your: None
regular: None
payment: None
by: None
13: None
(: None
not: None
12: None
): None
.: None

###","If your state benefit was paid every 4 weeks work out the total paid in a year by multiplying your regular payment by 13 ( not 12 ) .

###

"
" You: None
do: None
not: None
have: None
a: None
statutory: None
right: None
to: None
time: None
off: None
work: None
to: None
care: None
for: None
foster: Person
children: Person
.: None

###","You do not have a statutory right to time off work to care for foster children .

###

"
" The: None
rules: None
are: None
different: None
if: None
you: None
’: None
re: None
UK: Location
resident: Person
and: None
sell: None
your: None
home: Location
.: None

###","The rules are different if you ’ re UK resident and sell your home .

###

"
" There: None
’: None
s: None
a: None
different: None
way: None
to: None
report: None
exemptions: None
if: None
your: None
property: None
is: None
in: None
Wales: Location
or: None
from: None
the: None
2010: None
valuation: None
.: None

###","There ’ s a different way to report exemptions if your property is in Wales or from the 2010 valuation .

###

"
" You: None
’: None
re: None
only: None
entitled: None
to: None
money: Finance
that: None
’: None
s: None
in: None
your: None
employment: Form
contract: Form
.: None

###","You ’ re only entitled to money that ’ s in your employment contract .

###

"
" You: None
can: None
use: None
a: None
solicitor: Person
to: None
make: None
your: None
agreement: None
legally: None
binding: None
.: None

###","You can use a solicitor to make your agreement legally binding .

###

"
" You: None
must: None
have: None
lived: None
in: None
the: None
home: Location
as: None
your: None
only: None
or: None
main: None
residence: Location
at: None
some: None
point: None
while: None
you: None
owned: None
it: None
.: None

###","You must have lived in the home as your only or main residence at some point while you owned it .

###

"
" If: None
you: None
cannot: None
find: None
the: None
original: None
will: Misc
you: None
’: None
ll: None
need: None
to: None
fill: None
in: None
a: None
lost: None
will: None
form: None
.: None

###","If you cannot find the original will you ’ ll need to fill in a lost will form .

###

"
" You: None
can: None
move: None
your: None
payday: Date
to: None
a: None
different: None
day: Date
or: None
change: None
how: None
often: None
you: None
pay: None
your: None
employees: Person
.: None

###","You can move your payday to a different day or change how often you pay your employees .

###

"
" There: None
will: None
also: None
be: None
a: None
fine: None
and: None
offenders: Person
might: None
be: None
named: None
by: None
the: None
government: Organization
.: None

###","There will also be a fine and offenders might be named by the government .

###

"
" After: None
this: None
time: None
most: None
businesses: Organization
must: None
pay: None
full: None
business: None
rates: None
.: None

###","After this time most businesses must pay full business rates .

###

"
" You: None
can: None
apply: None
to: None
extend: None
your: None
Tier: State
5: State
(: None
Temporary: Form
Worker: Form
-: Form
International: Form
Agreement: Form
): None
visa: Form
.: None

###","You can apply to extend your Tier 5 ( Temporary Worker - International Agreement ) visa .

###

"
" You: None
could: None
apply: Form
for: None
an: None
advance: None
or: None
hardship: None
payment: Finance
from: None
your: None
main: None
Universal: Finance
Credit: Finance
payment: Finance
.: None

###","You could apply for an advance or hardship payment from your main Universal Credit payment .

###

"
" The: None
remaining: None
pay: None
may: None
be: None
available: None
as: None
ShPP: Misc
.: None

###","The remaining pay may be available as ShPP .

###

"
